SPY,VO,IWM,EFA,VWO,AGG,IBND,VNQ
106.79613494873047,64.46797180175781,66.440185546875,37.22239303588867,30.877450942993164,86.6897964477539,29.319652557373047,39.60493087768555
107.97693634033203,65.5238265991211,67.62348937988281,37.845367431640625,31.63654136657715,86.5800552368164,29.56305694580078,39.88075637817383
108.54663848876953,65.99983978271484,68.04114532470703,38.31259536743164,31.93558120727539,86.43898010253906,29.675386428833008,40.03548812866211
108.95124816894531,65.80078125,68.08466339111328,38.51283264160156,31.973922729492188,86.21942901611328,29.675386428833008,40.284423828125
108.67050170898438,65.91329956054688,67.99764251708984,38.66115951538086,32.14260482788086,86.14888763427734,29.946868896484375,40.4795036315918
108.54663848876953,66.14697265625,68.38919067382812,38.446075439453125,32.20394515991211,86.21942901611328,29.937496185302734,40.788978576660156
109.45489501953125,67.05570983886719,68.9721450805664,38.84657287597656,32.579654693603516,86.34486389160156,30.31195068359375,41.31372833251953
108.89346313476562,66.56238555908203,68.89384460449219,38.86140060424805,32.449317932128906,86.517333984375,30.443017959594727,41.60300827026367
108.8438949584961,66.8133544921875,69.36371612548828,38.92814636230469,32.68700408935547,86.65843963623047,30.31195068359375,41.6164665222168
108.47233581542969,66.38064575195312,68.82426452636719,38.468326568603516,32.19628143310547,86.90931701660156,30.555355072021484,41.3070068359375
108.43106079101562,66.41526794433594,68.75463104248047,38.66857147216797,32.456966400146484,87.05828857421875,30.545995712280273,41.50882339477539
109.38060760498047,67.46244049072266,70.23377990722656,39.27671432495117,33.208404541015625,86.90497589111328,30.677045822143555,41.919189453125
109.553955078125,67.61825561523438,70.63401794433594,39.35828399658203,33.33875274658203,86.92862701416016,30.648969650268555,42.013397216796875
111.08978271484375,68.7433853149414,72.1740951538086,39.973846435546875,33.89848327636719,86.88931274414062,30.69577980041504,42.59866714477539
111.01545715332031,68.68276977539062,71.93917083740234,39.7810173034668,33.58411407470703,86.95220184326172,30.677045822143555,42.46413040161133
111.29621887207031,68.78661346435547,71.8956527709961,40.025760650634766,33.653114318847656,86.86571502685547,30.91107940673828,42.35650634765625
111.62651824951172,68.9337387084961,72.0522689819336,40.166656494140625,33.913814544677734,86.79498291015625,30.939167022705078,42.43050003051758
111.76683807373047,69.22798156738281,71.69554901123047,40.27048873901367,33.89848327636719,86.6535415649414,30.91107940673828,42.12101745605469
110.94115447998047,68.57026672363281,70.71233367919922,39.50661849975586,33.185386657714844,86.77145385742188,30.723852157592773,41.73082733154297
111.76683807373047,69.10680389404297,71.62593841552734,39.959007263183594,33.68379592895508,86.80286407470703,30.854902267456055,42.1546630859375
111.62651824951172,69.0981674194336,71.30400085449219,39.662353515625,33.438438415527344,86.8735580444336,30.630237579345703,41.72410202026367
111.10628509521484,68.86449432373047,70.71233367919922,39.70685577392578,33.53042984008789,86.8421401977539,30.61152458190918,41.47519302368164
112.33661651611328,69.74727630615234,72.04357147216797,40.25566101074219,33.8678092956543,86.82640838623047,30.639589309692383,41.91246795654297
112.63387298583984,69.72997283935547,72.03486633300781,40.433658599853516,33.952152252197266,86.71642303466797,30.70513153076172,41.94611358642578
112.68339538574219,69.3751220703125,71.54762268066406,40.44106674194336,33.821807861328125,86.58280944824219,30.957883834838867,41.293556213378906
112.32010650634766,69.15874481201172,70.98207092285156,40.32240676879883,33.92914962768555,86.82640838623047,30.948528289794922,40.9437141418457
112.8155288696289,69.6520767211914,72.04357147216797,40.65614700317383,33.85247802734375,86.89717102050781,31.173198699951172,41.454994201660156
113.063232421875,69.78189849853516,71.90437316894531,40.90087127685547,34.12852096557617,86.92074584960938,31.44467544555664,41.50882339477539
113.25315856933594,69.79920196533203,71.78255462646484,40.69322967529297,33.85247802734375,87.1958236694336,31.4072208404541,41.44154739379883
113.5833969116211,69.70398712158203,71.59114837646484,41.07145690917969,34.281864166259766,87.13294219970703,31.641263961791992,41.1993522644043
